# to find the value of the color
# go to editor.p5js.org
# paste in this line of code and run the program
# the number should appear in the console

# const colorRed = 255;
# const colorGreen = 0;
# const colorBlue = 0;
# 
# function setup() {
#	createCanvas(400, 400);
#	let value = 0;
#	value = value | colorRed;
#	value = value << 8;
#	value = value | colorGreen;
#	value = value << 8;
#	value = value | colorBlue;
#	console.log(value);
# }
# function draw() {
# }

name = KI11
color = 38655

speed = 1200
health = 1200
attack = 75

walking-frame-count = 2
walking-frame-rate = 10
shooting-frame-count = 1
shooting-frame-rate = 1
